Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/4/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.9,21.4,92,151
1/8/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.3,27.1,90,213
1/11/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11,25.3,42,120
18-01-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.6,19.8,72,180
22-01-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.8,22.1,130,238
25-01-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.5,24.9,102,255
29-01-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,19.1,21.2,81,149
2/1/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.8,13.8,124,235
2/5/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.7,19.4,157,279
2/8/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.3,16.6,149,332
2/12/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,29.5,20.2,126,278
15-02-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,6.5,21.8,121,276
19-02-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9,9,67,239
22-02-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9,9.2,99,176
3/1/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,8.6,34.9,88,169
3/5/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.7,14,97,188
3/8/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12,16,100,226
3/12/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.7,16.4,90,192
15-03-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,22.9,15.6,85,165
22-03-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,8.1,11.7,86,195
26-03-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,8.1,16.2,70,161
29-03-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.8,11.6,110,200
4/2/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,8.5,14.4,89,178
4/5/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,20,16.3,69,164
4/9/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,20,28.2,55,187
4/12/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.4,26.3,73,149
16-04-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.3,30.3,89,207
19-04-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.7,17,49,137
23-04-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,18.7,22.9,62,177
26-04-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,19.5,20.8,84,184
30-04-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,21.9,36.2,58,151
5/3/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.3,13.6,59,92
5/7/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.1,14.6,74,251
5/10/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.4,20.5,73,209
14-05-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.8,16.6,83,234
17-05-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,27.9,13.9,83,203
21-05-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.7,14.1,83,258
24-05-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.5,25.4,68,131
28-05-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.3,14,55,177
31-05-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,26.4,20.6,70,174
6/4/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.1,12.8,67,191
6/7/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.6,20.9,49,155
6/11/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13,12.5,66,195
14-06-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.7,14.2,86,167
18-06-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.3,25.3,66,185
21-06-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.2,12.8,51,64
25-06-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,8.8,13.3,62,144
28-06-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.8,12.5,46,81
7/2/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.9,12.7,87,221
7/5/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.6,13.7,61,176
7/9/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,19.6,18.7,66,134
7/12/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,20.5,32.9,55,107
16-07-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,21,25.1,57,103
19-07-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.9,12.6,54,125
23-07-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.6,19.3,72,132
26-07-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.3,21.9,59,120
30-07-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.4,25.7,63,88
8/2/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12,22.1,55,140
8/6/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.3,17.9,43,87
8/9/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.6,18.2,68,182
13-08-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,16,21.3,60,164
16-08-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.9,20.9,85,177
20-08-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,16.3,25.4,66,128
23-08-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.7,18.8,58,106
27-08-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.2,17.8,72,181
30-08-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,19.7,29.3,60,97
9/3/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,22,39.9,39,84
9/6/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.7,20.2,55,165
9/10/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.7,14.3,57,126
13-09-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,19,37.6,62,139
17-09-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.4,17.7,40,63
20-09-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.5,19.3,43,95
24-09-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.6,24.8,54,158
27-09-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,16.3,43,51,113
10/1/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.4,15.1,51,85
10/4/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,17.3,30.3,100,195
10/8/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.1,36.7,111,262
10/11/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.1,14.8,102,217
15-10-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.7,25.7,145,297
18-10-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.9,17,96,214
22-10-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.2,16.7,40,71
25-10-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13,20.4,91,149
29-10-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.1,18.6,23,34
11/1/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.2,17.1,42,104
11/5/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.6,20.1,40,115
11/9/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.1,15.5,101,224
11/12/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.1,13.7,114,211
15-11-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.8,13.6,158,323
19-11-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,8.9,14.1,73,121
22-11-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.5,17.2,96,197
26-11-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.8,18.4,60,109
29-11-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.6,17.2,98,188
12/3/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.8,22.6,71,123
12/6/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11,16.8,71,147
12/10/2007,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.8,15.4,72,173
13-12-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11,14.9,52,140
17-12-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.5,25.4,68,198
20-12-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,19.3,40.7,62,84
24-12-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.1,22.1,68,150
27-12-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.1,13.9,103,198
31-12-07,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.8,19.2,218,407
1/2/2007,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,11,22.2,65,138
1/4/2007,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,10.5,21.7,71,138
1/9/2007,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,11,22.3,38,91
1/11/2007,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,16.7,18.4,31,63
18-01-07,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,17.6,19.4,35,68
23-01-07,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,17.9,22.6,50,65
25-01-07,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,17.8,21.8,42,81
2/1/2007,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,10.9,13.9,46,71
2/6/2007,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,13.1,14.6,87,142
2/8/2007,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,14.6,23.4,77,280
13-02-07,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,14.6,21.8,89,321
15-02-07,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,16.4,23,85,194
20-02-07,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,6.8,11,55,183
22-02-07,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,8.7,29.2,54,187
3/1/2007,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,31,16.5,57,117
3/6/2007,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,9.2,12.4,68,149
3/8/2007,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,15.6,14.6,91,185
13-03-07,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,13.6,20.8,49,131
15-03-07,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,17.5,17.2,75,131
20-03-07,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,14.9,11.6,120,269
22-03-07,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,7.8,11.6,110,287
27-03-07,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,8,11.6,92,173
29-03-07,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,7.7,31.3,99,163
4/3/2007,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,8.6,12.6,85,269
