Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
71,1/3/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,25.2,17,72,204
71,1/6/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.7,16.5,59,125
71,1/7/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.6,21.5,109,246
71,1/10/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.1,20.5,84,214
71,1/14/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.6,33.6,198,313
71,1/21/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,18.8,37.8,86,166
71,1/24/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.7,28.5,98,498
71,1/28/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.6,15,131,250
71,1/31/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.3,14.6,146,268
71,2/14/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.1,16.9,67,153
71,2/18/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.9,18.9,69,162
71,2/21/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.3,15.1,39,116
71,2/25/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.7,20.1,87,221
71,2/28/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.2,19.7,98,218
71,3/13/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.4,13.6,57,130
71,3/14/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.1,19.2,84,210
71,3/17/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9,14.2,110,303
71,3/20/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.5,21.2,162,369
71,3/24/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.1,21,125,271
71,3/27/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.1,15.4,96,241
71,3/31/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.5,18.7,74,114
71,4/17/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.5,17.4,34,65
71,4/21/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11,17.2,80,193
71,4/24/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.6,15.5,53,107
71,4/28/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.8,19,67,113
71,5/15/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.5,17.3,73,176
71,5/19/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.8,17.1,98,149
71,5/22/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.6,15.5,67,139
71,5/26/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.5,18.3,115,365
71,5/29/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.3,17.8,81,180
71,6/16/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.1,22.1,89,185
71,6/19/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.4,17.2,85,174
71,6/23/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.2,18.2,107,176
71,6/26/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,17.5,49.1,62,176
71,6/30/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,19.2,18.5,66,162
71,7/14/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.5,27.1,113,290
71,7/17/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.8,19.3,48,120
71,7/21/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,16,17.4,61,162
71,7/24/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,20.4,19.5,42,131
71,7/28/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.1,20.4,41,110
71,7/31/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,27.6,19.4,55,172
71,8/14/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.4,18.7,49,125
71,8/18/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.1,42.1,53,193
71,8/21/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,18.5,21.7,43,123
71,8/25/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.9,19.1,45,120
71,8/28/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.9,26.3,83,189
71,9/18/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,16.9,24.9,65,153
71,9/22/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,20.7,28.7,47,103
71,9/25/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.6,14.2,42,103
71,9/29/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.3,16.5,33,113
71,10/13/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.3,24.2,41,105
71,10/16/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.3,26,41,106
71,10/20/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,19.1,29.3,43,83
71,10/23/2008,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.6,22.8,59,136
